, 11
87, -6, 11
87, 117, 11
87, 39, 11
87, 35, 11
87, 106, 11
87, 0, 11
87, 113, 11
87, 39, 11
11
87, 28, 11
87, 132, 11
87, -6, 11
87, 117, 11
87, 39, 11
87, 35, 11
87, 106, 11
87, 0, 11
87, 113, 11
87, 39, 11
87, 0, 0
87, 0, 5
87, -7, 7
87, 23, 8
87, 28, 8
87, 35, 9
87, -15, 9
87, 7, 9
87, 7, 9
87, 0, 9
87, 54, 10
87, 56, 11
87, 23, 11
87, 7, 11
87, 7, 11
87, 62, 11
87, 85, 11
87, 0, 11
87, 0, 11
87, 70, 11
87, 78, 11
87, -7, 11
87, 15, 11
87, 106, 11
87, 31, 11
87, 0, 11
87, 78, 11
87, 62, 11
87, 7, 11
87, 52, 11
87, 101, 11
87, -14, 11
87, 70, 11
87, 92, 11
87, -7, 11
87, 70, 11
87, 78, 11
87, 13, 11
87, 85, 11
87, 54, 11
87, 14, 11
87, 106, 11
87, 28, 11
87, 15, 11
87, 140, 11
87, 0, 11
87, 62, 11
87, 85, 11
87, 14, 11
87, 85, 11
87, 62, 11
87, -7, 11
87, 156, 11
87, 0, 11
87, 56, 11
87, 85, 11
87, 7, 11
87, 97, 11
87, 39, 11
87, 31, 11
87, 113, 11
87, 0, 11
87, 93, 11
87, 56, 11
87, 0, 11
87, 130, 11
87, 7, 11
87, 62, 11
87, 71, 11
87, 7, 11
87, 148, 11
87, 7, 11
87, 62, 11
87, 92, 11
87, 0, 11
87, 140, 11
87, 7, 11
87, 56, 11
87, 93, 11
87, 7, 11
87, 125, 11
87, 14, 11
87, 63, 11
87, 85, 11
87, 7, 11
87, 104, 11
87, 39, 11
87, 35, 11
87, 101, 11
87, 7, 11
87, 113, 11
87, 39, 11
87, 39, 11
87, 84, 11
87, 7, 11
87, 113, 11
87, 39, 11
87, 35, 11
87, 92, 11
87, 7, 11
87, 125, 11
87, 26, 11
87, 54, 11
87, 93, 11
87, 7, 11
87, 120, 11
87, 14, 11
87, 70, 11
87, 93, 11
87, 6, 11
87, 125, 11
87, 15, 11
87, 63, 11
87, 92, 11
87, 0, 11
87, 140, 11
87, 7, 11
87, 52, 11
87, 101, 11
87, -7, 11
87, 142, 11
87, 7, 11
87, 62, 11
87, 71, 11
87, 7, 11
87, 149, 11
87, -7, 11
87, 85, 11
87, 63, 11
87, 7, 11
87, 148, 11
87, 0, 11
87, 93, 11
87, 63, 11
87, 7, 11
87, 132, 11
87, 7, 11
87, 78, 11
87, 62, 11
87, 23, 11
87, 120, 11
87, 7, 11
87, 85, 11
87, 54, 11
87, 31, 11
87, 104, 11
87, 7, 11
87, 109, 11
