8, 21
189, 78, 21
189, 78, 21
189, 71, 21
189, 109, 21
189, 109, 21
189, 89, 21
189, 78, 21
189, 71, 21
189, 78, 21
78, 21
189, 78, 21
189, 78, 21
189, 71, 21
189, 109, 21
189, 109, 21
189, 89, 21
189, 78, 21
189, 71, 21
189, 78, 21
78, 21
189, 78, 21
189, 78, 21
189, 71, 21
189, 109, 21
189, 109, 21
189, 89, 21
189, 78, 21
189, 71, 21
189, 78, 21
87, 0, 0
87, 0, 10
87, 23, 13
87, 40, 15
87, 3, 16
87, 0, 17
87, 58, 17
87, 22, 18
87, 27, 18
87, 48, 18
87, 27, 20
87, 42, 21
87, 50, 21
87, 29, 21
87, 74, 21
87, 18, 21
87, 54, 21
87, 78, 21
87, 15, 21
87, 53, 21
87, 78, 21
87, 29, 21
87, 50, 21
87, 74, 21
87, 50, 21
87, 26, 21
87, 82, 21
87, 66, 21
87, 37, 21
87, 42, 21
87, 74, 21
87, 82, 21
87, 26, 21
87, 46, 21
87, 74, 21
87, 74, 21
87, 40, 21
87, 40, 21
87, 70, 21
87, 82, 21
87, 44, 21
87, 35, 21
87, 63, 21
87, 78, 21
87, 71, 21
87, 35, 21
87, 44, 21
87, 78, 21
87, 74, 21
87, 50, 21
87, 29, 21
87, 74, 21
87, 67, 21
87, 78, 21
87, 33, 21
87, 46, 21
87, 74, 21
87, 82, 21
87, 46, 21
87, 33, 21
87, 63, 21
87, 74, 21
87, 82, 21
87, 29, 21
87, 50, 21
87, 70, 21
87, 74, 21
87, 60, 21
87, 31, 21
87, 63, 21
87, 74, 21
87, 70, 21
87, 50, 21
87, 33, 21
87, 78, 21
87, 63, 21
87, 82, 21
87, 29, 21
87, 50, 21
87, 74, 21
87, 74, 21
87, 55, 21
87, 35, 21
87, 59, 21
87, 74, 21
87, 78, 21
87, 31, 21
87, 40, 21
87, 78, 21
87, 78, 21
87, 59, 21
87, 35, 21
87, 53, 21
87, 78, 21
87, 74, 21
87, 46, 21
87, 33, 21
87, 70, 21
87, 78, 21
87, 74, 21
87, 33, 21
87, 46, 21
87, 66, 21
87, 78, 21
87, 63, 21
87, 35, 21
87, 59, 21
87, 70, 21
87, 70, 21
87, 50, 21
87, 29, 21
87, 82, 21
87, 70, 21
87, 74, 21
87, 33, 21
87, 46, 21
87, 74, 21
87, 78, 21
87, 54, 21
87, 33, 21
87, 62, 21
87, 78, 21
87, 74, 21
87, 39, 21
87, 35, 21
87, 78, 21
87, 78, 21
87, 66, 21
