, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 0
27, 0, 33, 10
27, 0, 33, 13
27, 0, 33, 15
27, 0, 33, 16
27, 0, 33, 17
27, 0, 33, 18
27, 0, 33, 18
27, 0, 33, 18
27, 0, 33, 19
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
69, 0, 86, 21
69, 0, 86, 21
69, 0, 86, 21
69, 0, 86, 21
69, 0, 86, 21
69, 0, 86, 21
69, 0, 86, 21
69, 1, 85, 21
69, 1, 85, 21
69, 1, 85, 21
69, 2, 83, 21
69, 2, 83, 21
69, 3, 82, 21
69, 4, 81, 21
69, 5, 80, 21
69, 6, 78, 21
69, 7, 77, 21
69, 8, 76, 21
69, 9, 75, 21
69, 11, 72, 21
69, 13, 70, 21
69, 14, 68, 21
69, 16, 66, 21
69, 18, 63, 21
69, 20, 61, 21
69, 22, 58, 21
69, 24, 56, 21
69, 26, 53, 21
69, 27, 52, 21
69, 29, 50, 21
69, 31, 47, 21
69, 32, 46, 21
69, 34, 43, 21
69, 35, 42, 21
69, 36, 41, 21
69, 38, 38, 21
69, 39, 37, 21
69, 39, 37, 21
69, 40, 36, 21
69, 40, 36, 21
69, 41, 35, 21
69, 41, 35, 21
69, 41, 35, 21
69, 41, 35, 21
69, 41, 35, 21
69, 41, 35, 21
69, 40, 36, 21
69, 40, 36, 21
69, 39, 37, 21
69, 38, 38, 21
69, 38, 38, 21
69, 37, 40, 21
69, 36, 41, 21
69, 35, 42, 21
69, 34, 43, 21
69, 33, 45, 21
69, 32, 46, 21
69, 31, 47, 21
69, 30, 48, 21
69, 29, 50, 21
69, 28, 51, 21
69, 28, 51, 21
69, 27, 52, 21
69, 26, 53, 21
69, 25, 55, 21
69, 24, 56, 21
69, 23, 57, 21
69, 23, 57, 21
69, 22, 58, 21
69, 22, 58, 21
69, 21, 60, 21
69, 21, 60, 21
69, 21, 60, 21
69, 21, 60, 21
43, 20, 28, 21
43, 20, 28, 21
43, 20, 28, 21
43, 21, 27, 21
43, 21, 27, 21
43, 21, 27, 21
43, 21, 27, 21
43, 21, 27, 21
43, 21, 27, 21
43, 22, 26, 21
43, 22, 26, 21
43, 22, 26, 21
43, 22, 26, 21
43, 22, 26, 21
43, 22, 26, 21
43, 23, 25, 21
43, 23, 25, 21
43, 23, 25, 21
43, 22, 26, 21
43, 22, 26, 21
43, 22, 26, 21
43, 22, 26, 21
43, 21, 27, 21
43, 20, 28, 21
43, 20, 28, 21
43, 19, 30, 21
43, 19, 30, 21
43, 18, 31, 21
43, 17, 32, 21
43, 17, 32, 21
43, 16, 33, 21
43, 15, 35, 21
43, 14, 36, 21
43, 14, 36, 21
43, 13, 37, 21
43, 12, 38, 21
43, 11, 40, 21
43, 10, 41, 21
43, 10, 41, 21
43, 9, 42, 21
43, 9, 42, 21
43, 8, 43, 21
43, 8, 43, 21
43, 8, 43, 21
43, 7, 45, 21
43, 7, 45, 21
43, 7, 45, 21
43, 7, 45, 21
43, 7, 45, 21
43, 7, 45, 21
43, 7, 45, 21
43, 7, 45, 21
43, 7, 45, 21
43, 7, 45, 21
43, 7, 45, 21
43, 8, 43, 21
43, 8, 43, 21
43, 9, 42, 21
43, 9, 42, 21
43, 9, 42, 21
43, 10, 41, 21
43, 10, 41, 21
43, 10, 41, 21
43, 11, 40, 21
43, 11, 40, 21
43, 12, 38, 21
43, 12, 38, 21
43, 13, 37, 21
43, 13, 37, 21
43, 13, 37, 21
43, 14, 36, 21
43, 14, 36, 21
43, 14, 36, 21
43, 14, 36, 21
68, 15, 66, 21
68, 15, 66, 21
68, 15, 66, 21
68, 15, 66, 21
68, 15, 66, 21
68, 15, 66, 21
68, 16, 65, 21
68, 16, 65, 21
68, 16, 65, 21
68, 16, 65, 21
68, 16, 65, 21
68, 16, 65, 21
68, 16, 65, 21
68, 16, 65, 21
68, 17, 63, 21
68, 17, 63, 21
68, 17, 63, 21
68, 18, 62, 21
68, 18, 62, 21
68, 19, 61, 21
68, 20, 60, 21
68, 20, 60, 21
68, 21, 58, 21
68, 22, 57, 21
68, 23, 56, 21
68, 23, 56, 21
68, 24, 55, 21
68, 25, 53, 21
68, 26, 52, 21
68, 26, 52, 21
68, 27, 51, 21
68, 28, 50, 21
68, 29, 48, 21
68, 29, 48, 21
68, 30, 47, 21
68, 30, 47, 21
68, 31, 46, 21
68, 31, 46, 21
68, 32, 45, 21
68, 32, 45, 21
68, 32, 45, 21
68, 33, 43, 21
68, 33, 43, 21
68, 33, 43, 21
68, 33, 43, 21
68, 33, 43, 21
68, 33, 43, 21
68, 33, 43, 21
68, 32, 45, 21
68, 32, 45, 21
68, 32, 45, 21
68, 32, 45, 21
68, 31, 46, 21
68, 31, 46, 21
68, 31, 46, 21
68, 30, 47, 21
68, 30, 47, 21
68, 30, 47, 21
68, 29, 48, 21
68, 29, 48, 21
68, 28, 50, 21
68, 28, 50, 21
68, 28, 50, 21
68, 27, 51, 21
68, 27, 51, 21
68, 26, 52, 21
68, 26, 52, 21
68, 26, 52, 21
68, 25, 53, 21
68, 25, 53, 21
68, 25, 53, 21
68, 25, 53, 21
68, 24, 55, 21
68, 24, 55, 21
40, 24, 20, 21
40, 24, 20, 21
40, 24, 20, 21
40, 24, 20, 21
40, 23, 21, 21
40, 23, 21, 21
40, 23, 21, 21
40, 23, 21, 21
40, 23, 21, 21
40, 23, 21, 21
40, 23, 21, 21
40, 23, 21, 21
40, 23, 21, 21
40, 23, 21, 21
40, 22, 22, 21
40, 22, 22, 21
40, 22, 22, 21
40, 21, 23, 21
40, 21, 23, 21
40, 21, 23, 21
40, 20, 25, 21
40, 19, 26, 21
40, 19, 26, 21
40, 18, 27, 21
40, 17, 28, 21
40, 16, 30, 21
40, 16, 30, 21
40, 15, 31, 21
40, 14, 32, 21
40, 13, 33, 21
40, 12, 35, 21
40, 11, 36, 21
40, 10, 37, 21
40, 9, 38, 21
40, 8, 40, 21
40, 7, 41, 21
40, 6, 42, 21
40, 6, 42, 21
40, 5, 43, 21
40, 4, 45, 21
40, 4, 45, 21
40, 3, 46, 21
40, 3, 46, 21
40, 2, 47, 21
40, 2, 47, 21
40, 1, 48, 21
40, 1, 48, 21
40, 1, 48, 21
40, 1, 48, 21
40, 1, 48, 21
40, 0, 50, 21
40, 0, 50, 21
40, 0, 50, 21
40, 0, 50, 21
40, 0, 50, 21
40, 0, 50, 21
40, 0, 50, 21
40, 0, 50, 21
40, 0, 50, 21
40, 0, 50, 21
40, 0, 50, 21
40, 0, 50, 21
40, 0, 50, 21
40, 0, 50, 21
40, 0, 50, 21
40, 0, 50, 21
40, 0, 50, 21
40, 0, 50, 21
40, 0, 50, 21
40, 0, 50, 21
40, 0, 50, 21
40, 0, 50, 21
40, 0, 50, 21
