39, 31
87, 40, 31
87, 41, 31
87, 42, 31
87, 43, 31
87, 44, 31
32, 31
87, 33, 31
87, 35, 31
87, 36, 31
87, 37, 31
87, 39, 31
87, 40, 31
87, 41, 31
87, 42, 31
87, 43, 31
87, 44, 31
87, 0, 0
87, 2, 15
87, 6, 20
87, 7, 23
87, 9, 24
87, 10, 25
87, 12, 26
87, 13, 27
87, 14, 27
87, 16, 27
87, 17, 31
87, 18, 31
87, 19, 31
87, 20, 31
87, 20, 31
87, 21, 31
87, 22, 31
87, 23, 31
87, 24, 31
87, 25, 31
87, 25, 31
87, 26, 31
87, 27, 31
87, 27, 31
87, 28, 31
87, 28, 31
87, 29, 31
87, 30, 31
87, 30, 31
87, 31, 31
87, 32, 31
87, 34, 31
87, 35, 31
87, 36, 31
87, 37, 31
87, 38, 31
87, 40, 31
87, 41, 31
87, 42, 31
87, 43, 31
87, 44, 31
87, 44, 31
87, 45, 31
87, 46, 31
87, 47, 31
87, 48, 31
87, 48, 31
87, 49, 31
87, 50, 31
87, 50, 31
87, 51, 31
87, 51, 31
87, 52, 31
87, 53, 31
87, 53, 31
87, 53, 31
87, 54, 31
87, 54, 31
87, 55, 31
87, 55, 31
87, 56, 31
87, 56, 31
87, 56, 31
87, 57, 31
87, 57, 31
87, 57, 31
87, 57, 31
87, 57, 31
87, 57, 31
87, 57, 31
87, 57, 31
87, 58, 31
87, 58, 31
87, 58, 31
87, 58, 31
87, 58, 31
87, 58, 31
87, 58, 31
87, 58, 31
87, 58, 31
87, 58, 31
87, 58, 31
87, 58, 31
87, 58, 31
87, 58, 31
87, 58, 31
87, 58, 31
87, 58, 31
87, 58, 31
87, 58, 31
87, 58, 31
87, 58, 31
87, 58, 31
87, 58, 31
87, 58, 31
87, 58, 31
87, 58, 31
87, 58, 31
87, 58, 31
87, 58, 31
87, 58, 31
87, 58, 31
87, 58, 31
87, 58, 31
87, 58, 31
87, 58, 31
87, 58, 31
87, 58, 31
87, 58, 31
87, 58, 31
87, 58, 31
87, 58, 31
87, 58, 31
87, 58, 31
87, 58, 31
87, 58, 31
189, 58, 31
189, 58, 31
189, 58, 31
189, 58, 31
189, 58, 31
189, 58, 31
189, 58, 31
189, 58, 31
189, 59, 31
189, 59, 31
189, 59, 31
189, 59, 31
189, 60, 31
189, 60, 31
189, 60, 31
189, 61, 31
189, 61, 31
189, 62, 31
189, 62, 31
189, 63, 31
189, 63, 31
189, 64, 31
189, 64, 31
189, 65, 31
189, 66, 31
189, 66, 31
189, 67, 31
189, 68, 31
189, 68, 31
189, 69, 31
189, 70, 31
189, 71, 31
189, 72, 31
189, 73, 31
189, 74, 31
189, 75, 31
189, 75, 31
189, 76, 31
189, 77, 31
189, 78, 31
189, 78, 31
189, 79, 31
189, 80, 31
189, 80, 31
189, 81, 31
189, 82, 31
189, 82, 31
189, 83, 31
189, 83, 31
189, 83, 31
189, 84, 31
189, 84, 31
189, 85, 31
189, 85, 31
189, 85, 31
