60, 11
87, 60, 11
87, 60, 11
87, 59, 11
87, 60, 11
87, 60, 11
87, 60, 11
87, 62, 11
87, 62, 11
87, 62, 11
87, 0, 0
87, 0, 5
87, 1, 7
87, 1, 8
87, 0, 8
87, 2, 9
87, 5, 9
87, 9, 9
87, 15, 9
87, 21, 9
87, 25, 10
87, 25, 11
87, 24, 11
87, 24, 11
87, 24, 11
87, 26, 11
87, 30, 11
87, 34, 11
87, 33, 11
87, 32, 11
87, 33, 11
87, 36, 11
87, 33, 11
87, 34, 11
87, 41, 11
87, 42, 11
87, 39, 11
87, 44, 11
87, 49, 11
87, 45, 11
87, 46, 11
87, 52, 11
87, 49, 11
87, 48, 11
87, 53, 11
87, 50, 11
87, 49, 11
87, 53, 11
87, 51, 11
87, 52, 11
87, 57, 11
87, 54, 11
87, 54, 11
87, 56, 11
87, 55, 11
87, 54, 11
87, 56, 11
87, 56, 11
87, 58, 11
87, 57, 11
87, 57, 11
87, 57, 11
87, 56, 11
87, 56, 11
87, 56, 11
87, 56, 11
87, 57, 11
87, 57, 11
87, 57, 11
87, 58, 11
87, 58, 11
87, 58, 11
87, 59, 11
87, 59, 11
87, 60, 11
87, 61, 11
87, 62, 11
87, 61, 11
87, 61, 11
87, 60, 11
87, 60, 11
87, 60, 11
87, 60, 11
87, 59, 11
87, 60, 11
87, 60, 11
87, 60, 11
87, 59, 11
87, 60, 11
87, 60, 11
87, 61, 11
87, 60, 11
87, 61, 11
87, 62, 11
87, 62, 11
87, 62, 11
87, 63, 11
87, 62, 11
87, 63, 11
87, 62, 11
87, 61, 11
87, 61, 11
87, 60, 11
87, 60, 11
87, 60, 11
87, 60, 11
87, 59, 11
87, 60, 11
87, 60, 11
87, 61, 11
87, 63, 11
87, 63, 11
87, 63, 11
87, 63, 11
87, 63, 11
87, 62, 11
87, 62, 11
87, 64, 11
87, 61, 11
87, 61, 11
87, 61, 11
87, 61, 11
87, 61, 11
87, 62, 11
87, 63, 11
87, 62, 11
87, 62, 11
87, 62, 11
87, 61, 11
